"county_id","county_name","tract","block_code"
1,"adams",9501,530019501001000
1,"adams",9501,530019501001001
1,"adams",9501,530019501001002
1,"adams",9501,530019501001003
1,"adams",9501,530019501001004
1,"adams",9501,530019501001005
1,"adams",9501,530019501001006
1,"adams",9501,530019501001007
1,"adams",9501,530019501001008
1,"adams",9501,530019501001009
1,"adams",9501,530019501001010
1,"adams",9501,530019501001011
1,"adams",9501,530019501001012
1,"adams",9501,530019501001013
1,"adams",9501,530019501001014
1,"adams",9501,530019501001015
1,"adams",9501,530019501001016
1,"adams",9501,530019501001017
1,"adams",9501,530019501001018
1,"adams",9501,530019501001019
1,"adams",9501,530019501001020
1,"adams",9501,530019501001021
1,"adams",9501,530019501001022
1,"adams",9501,530019501001023
1,"adams",9501,530019501001024
1,"adams",9501,530019501001025
1,"adams",9501,530019501001026
1,"adams",9501,530019501001027
1,"adams",9501,530019501001028
1,"adams",9501,530019501001029
1,"adams",9501,530019501001030
1,"adams",9501,530019501001031
1,"adams",9501,530019501001032
1,"adams",9501,530019501001033
1,"adams",9501,530019501001034
1,"adams",9501,530019501001035
1,"adams",9501,530019501001036
1,"adams",9501,530019501001037
1,"adams",9501,530019501001038
1,"adams",9501,530019501001039
1,"adams",9501,530019501001040
1,"adams",9501,530019501001041
1,"adams",9501,530019501001042
1,"adams",9501,530019501001043
1,"adams",9501,530019501001044
1,"adams",9501,530019501001045
1,"adams",9501,530019501001046
1,"adams",9501,530019501001047
1,"adams",9501,530019501001048
1,"adams",9501,530019501001049
1,"adams",9501,530019501001050
1,"adams",9501,530019501001051
1,"adams",9501,530019501001052
1,"adams",9501,530019501001053
1,"adams",9501,530019501001054
1,"adams",9501,530019501001055
1,"adams",9501,530019501001056
1,"adams",9501,530019501001057
1,"adams",9501,530019501001058
1,"adams",9501,530019501001059
1,"adams",9501,530019501001060
1,"adams",9501,530019501001061
1,"adams",9501,530019501001062
1,"adams",9501,530019501001063
1,"adams",9501,530019501001064
1,"adams",9501,530019501001065
1,"adams",9501,530019501001066
1,"adams",9501,530019501001067
1,"adams",9501,530019501001068
1,"adams",9501,530019501001069
1,"adams",9501,530019501001070
1,"adams",9501,530019501001071
1,"adams",9501,530019501001072
1,"adams",9501,530019501001073
1,"adams",9501,530019501001074
1,"adams",9501,530019501001075
1,"adams",9501,530019501001076
1,"adams",9501,530019501001077
1,"adams",9501,530019501001078
1,"adams",9501,530019501001079
1,"adams",9501,530019501001080
1,"adams",9501,530019501001081
1,"adams",9501,530019501001082
1,"adams",9501,530019501001083
1,"adams",9501,530019501001084
1,"adams",9501,530019501001085
1,"adams",9501,530019501001086
1,"adams",9501,530019501001087
1,"adams",9501,530019501001088
1,"adams",9501,530019501001089
1,"adams",9501,530019501001090
1,"adams",9501,530019501001091
1,"adams",9501,530019501001092
1,"adams",9501,530019501001093
1,"adams",9501,530019501001094
1,"adams",9501,530019501001095
1,"adams",9501,530019501001096
1,"adams",9501,530019501001097
1,"adams",9501,530019501001098
1,"adams",9501,530019501001099
1,"adams",9501,530019501001100
1,"adams",9501,530019501001101
1,"adams",9501,530019501001102
1,"adams",9501,530019501001103
1,"adams",9501,530019501001104
1,"adams",9501,530019501001105
1,"adams",9501,530019501001106
1,"adams",9501,530019501001107
1,"adams",9501,530019501001108
1,"adams",9501,530019501001109
1,"adams",9501,530019501001110
1,"adams",9501,530019501001111
1,"adams",9501,530019501001112
1,"adams",9501,530019501001113
1,"adams",9501,530019501001114
1,"adams",9501,530019501001115
1,"adams",9501,530019501001116
1,"adams",9501,530019501001117
1,"adams",9501,530019501001118
1,"adams",9501,530019501001119
1,"adams",9501,530019501001120
1,"adams",9501,530019501001121
1,"adams",9501,530019501001122
1,"adams",9501,530019501001123
1,"adams",9501,530019501001124
1,"adams",9501,530019501001125
1,"adams",9501,530019501001126
1,"adams",9501,530019501001127
1,"adams",9501,530019501001128
1,"adams",9501,530019501001129
1,"adams",9501,530019501001130
1,"adams",9501,530019501001131
1,"adams",9501,530019501001132
1,"adams",9501,530019501001133
1,"adams",9501,530019501001134
1,"adams",9501,530019501001135
1,"adams",9501,530019501001136
1,"adams",9501,530019501001137
1,"adams",9501,530019501001138
1,"adams",9501,530019501001139
1,"adams",9501,530019501001140
1,"adams",9501,530019501001141
1,"adams",9501,530019501001142
1,"adams",9501,530019501001143
1,"adams",9501,530019501001144
1,"adams",9501,530019501001145
1,"adams",9501,530019501001146
1,"adams",9501,530019501001147
1,"adams",9501,530019501001148
1,"adams",9501,530019501001149
1,"adams",9501,530019501001150
1,"adams",9501,530019501001151
1,"adams",9501,530019501001152
1,"adams",9501,530019501001153
1,"adams",9501,530019501001154
1,"adams",9501,530019501001155
1,"adams",9501,530019501001156
1,"adams",9501,530019501001157
1,"adams",9501,530019501001158
1,"adams",9501,530019501001159
1,"adams",9501,530019501001160
1,"adams",9501,530019501001161
1,"adams",9501,530019501001162
1,"adams",9501,530019501001163
1,"adams",9501,530019501001164
1,"adams",9501,530019501001165
1,"adams",9501,530019501001166
1,"adams",9501,530019501001167
1,"adams",9501,530019501001168
1,"adams",9501,530019501001169
1,"adams",9501,530019501001170
1,"adams",9501,530019501001171
1,"adams",9501,530019501001172
1,"adams",9501,530019501001173
1,"adams",9501,530019501001174
1,"adams",9501,530019501001175
1,"adams",9501,530019501001176
1,"adams",9501,530019501001177
1,"adams",9501,530019501001178
1,"adams",9501,530019501001179
1,"adams",9501,530019501001180
1,"adams",9501,530019501001181
1,"adams",9501,530019501001182
1,"adams",9501,530019501001183
1,"adams",9501,530019501001184
1,"adams",9501,530019501001185
1,"adams",9501,530019501001186
1,"adams",9501,530019501001187
1,"adams",9501,530019501001188
1,"adams",9501,530019501001189
1,"adams",9501,530019501001190
1,"adams",9501,530019501001191
1,"adams",9501,530019501001192
1,"adams",9501,530019501001193
1,"adams",9501,530019501001194
1,"adams",9501,530019501001195
1,"adams",9501,530019501001196
1,"adams",9501,530019501001197
1,"adams",9501,530019501001198
1,"adams",9501,530019501001199
1,"adams",9501,530019501001200
1,"adams",9501,530019501001201
1,"adams",9501,530019501001202
1,"adams",9501,530019501001203
1,"adams",9501,530019501001204
1,"adams",9501,530019501001205
1,"adams",9501,530019501001206
1,"adams",9501,530019501001207
1,"adams",9501,530019501001208
1,"adams",9501,530019501001209
1,"adams",9501,530019501001210
1,"adams",9501,530019501001211
1,"adams",9501,530019501001212
1,"adams",9501,530019501001213
1,"adams",9501,530019501001214
1,"adams",9501,530019501001215
1,"adams",9501,530019501001216
1,"adams",9501,530019501001217
1,"adams",9501,530019501001218
1,"adams",9501,530019501001219
1,"adams",9501,530019501001220
1,"adams",9501,530019501001221
1,"adams",9501,530019501001222
1,"adams",9501,530019501001223
1,"adams",9501,530019501001224
1,"adams",9501,530019501001225
1,"adams",9501,530019501001226
1,"adams",9501,530019501001227
1,"adams",9501,530019501001228
1,"adams",9501,530019501001229
1,"adams",9501,530019501001230
1,"adams",9501,530019501001231
1,"adams",9501,530019501001232
1,"adams",9501,530019501001233
1,"adams",9501,530019501001234
1,"adams",9501,530019501001235
1,"adams",9501,530019501001236
1,"adams",9501,530019501001237
